City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mutum,-19.8,-41.4383,31.43,33,8,2.51,BR,1691949600
83,glendive,47.1053,-104.7125,32.38,21,11,1.15,US,1692057600
84,puerto ayora,-0.7393,-90.3518,25.49,88,75,4.66,EC,1691690400
85,beledweyne,4.7358,45.2036,36.86,22,5,9.68,SO,1692100800
86,edinburgh of the seven seas,-37.0676,-12.3116,13.77,89,100,9.69,SH,1692111600
87,jabor,5.921,169.6434,28.81,73,13,4.12,MH,1691917200
88,kingston,17.997,-76.7936,35.14,42,65,5.26,JM,1691863200
89,tabou,4.423,-7.3528,25.68,72,73,3.7,CI,1691852400
90,walvis bay,-22.9575,14.5053,17.76,70,5,3.33,NA,1691755200
91,soe,-9.8607,124.284,26.9,41,26,4.13,ID,1691895600
92,arkhangel'sk,64.5401,40.5433,29.22,38,24,1.49,RU,1691755200
93,la passe,45.5549,-0.8967,26.11,56,65,3.4,FR,1691755200
94,shihezi,44.3,86.0333,40.25,10,3,6.48,CN,1691744400
95,beylikova,39.6869,31.2056,39.64,13,39,3.59,TR,1692014400
96,holualoa,19.6228,-155.9522,25.91,65,19,3.12,US,1691701200
97,mili,6.0815,171.735,28.9,76,99,7.02,MH,1692003600
98,amga,60.8953,131.9608,28.14,35,1,4.95,RU,1691906400
99,harstad,68.799,16.5293,18.44,58,94,1.89,NO,1691766000
100,san patricio,28.017,-97.5169,37.42,32,78,6.8,US,1692046800
101,invercargill,-46.4,168.35,9.48,86,100,2.74,NZ,1691809200
102,la'ie,21.6477,-157.9253,26.65,58,90,5.89,US,1691884800
103,flying fish cove,-10.4217,105.6791,25.04,79,29,7.78,CX,1691755200
104,mana,5.6592,-53.7767,30.7,60,0,3.95,GF,1692111600
105,peace river,56.2501,-117.286,26.53,42,44,7.39,CA,1691960400
106,san carlos,9.6612,-68.5827,31.3,58,46,2.36,VE,1691863200
107,kulhudhuffushi,6.6221,73.07,28.35,73,100,5.92,MV,1691852400
108,aasiaat,68.7098,-52.8699,5.04,89,100,4.51,GL,1691755200
109,mikun',62.3547,50.0771,29.35,34,46,1.57,RU,1692100800
110,vilyuysk,63.7553,121.6247,27.07,35,86,4.6,RU,1691733600
111,nyurba,63.2842,118.3319,27.92,37,99,4.2,RU,1691733600
112,sergokala,42.4547,47.6612,33.96,30,0,6.47,RU,1691744400
113,hermanus,-34.4187,19.2345,21.18,62,0,0.52,ZA,1691690400
114,nova vicosa,-17.8919,-39.3719,25.91,61,27,3.82,BR,1691766000
115,coahuayana de hidalgo,18.7,-103.6583,34.61,53,85,2.42,MX,1692036000
